mmsi,vessel_name,imo,vessel_type,closest_time,distance_km,time_difference_min,ais_course,ais_slick_difference_deg,wind_slick_difference_deg,ais_direction_score,wind_score,directional_score,proximity_score,temporal_score,final_attribution_score
367375990,SANTA MARIA IV,IMO8940189,30.0,2018-09-26 20:41:55+00:00,12.631099484594358,377.9166666666667,179.2,54.5,4.5789104925043205,39.44444444444445,94.9123216749952,67.17838305971982,49.47560206162257,0.0,41.915977964787196
367166240,,,,2018-09-26 14:38:54+00:00,38.216913219356684,14.9,343.9,69.80000000000001,4.5789104925043205,22.444444444444432,94.9123216749952,58.67838305971981,0.0,91.72222222222221,41.65629269569372
367772750,LAUREN A,IMO8024741,30.0,2018-09-26 14:26:06+00:00,38.3841985457552,2.1,152.8,80.89999999999998,4.5789104925043205,10.111111111111137,94.9123216749952,52.51171639305317,0.0,98.83333333333333,40.96740380680484
368674000,HEIDE MORAN,IMO7420390,31.0,2018-09-26 00:00:09+00:00,16.075569767470714,863.85,275.1,41.400000000000034,4.5789104925043205,53.99999999999996,94.9123216749952,74.45616083749758,35.697720930117136,0.0,39.315936623296125
247302400,PANNONIA G,IMO9567946,70.0,2018-09-26 16:16:15+00:00,33.6840107163605,112.25,214.0,19.69999999999999,4.5789104925043205,78.11111111111111,94.9123216749952,86.51171639305315,0.0,37.638888888888886,39.268792695693726
563016600,,,,2018-09-26 16:27:09+00:00,33.76272416863659,123.15,213.7,20.0,4.5789104925043205,77.77777777777779,94.9123216749952,86.34504972638649,0.0,31.58333333333333,37.68823714013817
538002355,OSPREY I,IMO9241504,70.0,2018-09-26 12:16:32+00:00,33.718230489908855,127.46666666666667,214.3,19.399999999999977,4.5789104925043205,78.44444444444447,94.9123216749952,86.67838305971983,0.0,29.18518518518518,37.22203343643447
367318350,MISS LORAINE,IMO8941054,30.0,2018-09-26 02:29:48+00:00,15.967523876837953,714.2,106.5,52.80000000000001,4.5789104925043205,41.33333333333332,94.9123216749952,68.12282750416426,36.129904492648194,0.0,36.95547671497522
319602000,STOLT FOCUS,IMO9214305,80.0,2018-09-26 12:05:52+00:00,33.67209659978204,138.13333333333333,34.0,19.69999999999999,4.5789104925043205,78.11111111111111,94.9123216749952,86.51171639305315,0.0,23.259259259259267,35.67388528828632
210998000,SEABOARD VALPARAISO,IMO9393539,70.0,2018-09-26 16:45:26+00:00,33.83358608600723,141.43333333333334,35.6,18.099999999999994,4.5789104925043205,79.8888888888889,94.9123216749952,87.40060528194205,0.0,21.425925925925927,35.57110751050854
367704020,MISS ALLY,IMO8940658,30.0,2018-09-26 00:00:42+00:00,15.050457974668314,863.3,342.8,70.89999999999998,4.5789104925043205,21.222222222222243,94.9123216749952,58.06727194860872,39.798168101326745,0.0,34.400559936224425
366804450,CROSBY RAMBLER,,31.0,2018-09-26 11:50:04+00:00,33.47976183059531,153.93333333333334,212.0,21.69999999999999,4.5789104925043205,75.8888888888889,94.9123216749952,85.40060528194205,0.0,14.481481481481485,33.03499639939743
538006166,TRF BERGEN,IMO9692246,80.0,2018-09-26 07:05:05+00:00,33.2527346424763,438.9166666666667,48.2,5.5,4.5789104925043205,93.88888888888889,94.9123216749952,94.40060528194203,0.0,0.0,33.014626029027056
367150170,CANDY BARREL,IMO9550929,60.0,2018-09-26 03:57:14+00:00,20.050649876073326,626.7666666666667,275.8,42.10000000000002,4.5789104925043205,53.22222222222219,94.9123216749952,74.06727194860869,19.797400495706697,0.0,32.8002528939764
367109110,STONE EXPLORER,,31.0,2018-09-26 11:43:44+00:00,33.58969972279426,160.26666666666668,33.4,20.299999999999983,4.5789104925043205,77.44444444444446,94.9123216749952,86.17838305971983,0.0,10.962962962962951,32.46647788087891
311000137,CS JADEN,IMO9660061,70.0,2018-09-26 22:25:10+00:00,32.936492412703345,481.1666666666667,38.6,15.099999999999994,4.5789104925043205,83.22222222222223,94.9123216749952,89.06727194860872,0.0,0.0,30.881292695693723
356423000,TURMOIL,IMO9479838,80.0,2018-09-26 23:58:56+00:00,34.167237629089236,574.9333333333333,38.2,15.5,4.5789104925043205,82.77777777777777,94.9123216749952,88.84504972638649,0.0,0.0,30.792403806804835
367154920,MISS LYNDA,,60.0,2018-09-26 05:38:54+00:00,33.74153153370733,525.1,217.9,15.799999999999983,4.5789104925043205,82.44444444444447,94.9123216749952,88.67838305971983,0.0,0.0,30.725737140138172
477985300,GENCO CHALLENGER,IMO9287429,70.0,2018-09-26 22:21:57+00:00,33.58979327230771,477.95,37.3,16.399999999999977,4.5789104925043205,81.7777777777778,94.9123216749952,88.34504972638649,0.0,0.0,30.59240380680484
538006856,TRF KOBE,IMO9733363,80.0,2018-09-26 07:38:02+00:00,33.663355511294775,405.96666666666664,36.9,16.799999999999983,4.5789104925043205,81.33333333333334,94.9123216749952,88.12282750416426,0.0,0.0,30.50351491791595
367666240,AQUEOS SPLASH,,60.0,2018-09-26 23:16:01+00:00,33.82731081133022,532.0166666666667,216.8,16.899999999999977,4.5789104925043205,81.22222222222226,94.9123216749952,88.06727194860872,0.0,0.0,30.481292695693732
218614000,MSC TORONTO,IMO9299525,70.0,2018-09-26 18:12:38+00:00,33.789095055287554,228.63333333333333,36.1,17.599999999999994,4.5789104925043205,80.44444444444446,94.9123216749952,87.67838305971983,0.0,0.0,30.325737140138173
548960000,,,,2018-09-26 18:55:51+00:00,33.92378723325112,271.85,35.9,17.799999999999983,4.5789104925043205,80.22222222222224,94.9123216749952,87.56727194860872,0.0,0.0,30.28129269569373
538006970,GH SEABISCUIT,IMO9736640,70.0,2018-09-26 04:58:11+00:00,33.72100584215096,565.8166666666667,215.7,18.0,4.5789104925043205,80.0,94.9123216749952,87.4561608374976,0.0,0.0,30.236848251249278
368185000,DEE WHITE,IMO9127227,31.0,2018-09-26 05:12:57+00:00,33.702335153957236,551.05,35.5,18.19999999999999,4.5789104925043205,79.77777777777779,94.9123216749952,87.34504972638649,0.0,0.0,30.192403806804837
563450000,TORM ALMENA,IMO9465980,80.0,2018-09-26 04:36:22+00:00,33.840952575531034,587.6333333333333,215.0,18.69999999999999,4.5789104925043205,79.22222222222224,94.9123216749952,87.06727194860872,0.0,0.0,30.081292695693726
538003254,STOLT MEGAMI,IMO9425980,80.0,2018-09-26 22:12:15+00:00,33.6736730153894,468.25,35.0,18.69999999999999,4.5789104925043205,79.22222222222224,94.9123216749952,87.06727194860872,0.0,0.0,30.081292695693726
367353090,SUNSHINE STATE,IMO9408114,80.0,2018-09-26 00:13:19+00:00,33.76267160724048,850.6833333333333,35.0,18.69999999999999,4.5789104925043205,79.22222222222224,94.9123216749952,87.06727194860872,0.0,0.0,30.081292695693726
636012767,ASOPOS,IMO9309253,80.0,2018-09-26 21:42:02+00:00,33.78582875078317,438.03333333333336,215.0,18.69999999999999,4.5789104925043205,79.22222222222224,94.9123216749952,87.06727194860872,0.0,0.0,30.081292695693726
249745000,SREDNA GORA,IMO9486570,70.0,2018-09-26 04:24:14+00:00,33.77668564484374,599.7666666666667,214.9,18.799999999999983,4.5789104925043205,79.11111111111113,94.9123216749952,87.01171639305316,0.0,0.0,30.059070473471508
563944000,ALPINE ETERNITY,IMO9430272,80.0,2018-09-26 10:42:40+00:00,33.65463985650717,221.33333333333334,34.6,19.099999999999994,4.5789104925043205,78.77777777777779,94.9123216749952,86.84504972638649,0.0,0.0,29.992403806804838
636016805,MSC NADRIELY,IMO9149328,70.0,2018-09-26 02:53:06+00:00,33.62053654252799,690.9,34.5,19.19999999999999,4.5789104925043205,78.66666666666669,94.9123216749952,86.78949417083095,0.0,0.0,29.97018158458262
366987890,CAPT RUDY,IMO9337420,90.0,2018-09-26 00:52:13+00:00,33.515700367731235,811.7833333333333,34.4,19.299999999999983,4.5789104925043205,78.55555555555557,94.9123216749952,86.73393861527538,0.0,0.0,29.947959362360393
310707000,SITEAM DISCOVERER,IMO9326938,80.0,2018-09-26 20:11:10+00:00,33.74534307437034,347.1666666666667,214.1,19.599999999999994,4.5789104925043205,78.22222222222223,94.9123216749952,86.56727194860872,0.0,0.0,29.881292695693723
367415160,YELLOWFIN,IMO9565584,31.0,2018-09-26 08:05:56+00:00,33.654191999721654,378.06666666666666,34.0,19.69999999999999,4.5789104925043205,78.11111111111111,94.9123216749952,86.51171639305315,0.0,0.0,29.859070473471505
338644000,SOUTHERN QUEST,IMO9222637,90.0,2018-09-26 00:02:30+00:00,33.77687390678116,861.5,214.0,19.69999999999999,4.5789104925043205,78.11111111111111,94.9123216749952,86.51171639305315,0.0,0.0,29.859070473471505
357759000,LOCH MAREE,IMO9658800,79.0,2018-09-26 19:45:11+00:00,33.721014318639455,321.18333333333334,213.9,19.799999999999983,4.5789104925043205,78.00000000000003,94.9123216749952,86.4561608374976,0.0,0.0,29.836848251249286
538005074,INTREPID EAGLE,IMO9467615,70.0,2018-09-26 08:39:25+00:00,33.66293580660816,344.5833333333333,33.1,20.599999999999994,4.5789104925043205,77.11111111111111,94.9123216749952,86.01171639305315,0.0,0.0,29.659070473471502
367653160,FAST LEOPARD,IMO9718260,60.0,2018-09-26 12:17:39+00:00,35.81204371130297,126.35,108.8,55.10000000000001,4.5789104925043205,38.777777777777764,94.9123216749952,66.84504972638648,0.0,29.805555555555564,29.443792695693723
311727000,HELGA SPIRIT,IMO9292503,80.0,2018-09-26 22:29:55+00:00,33.65044996576789,485.9166666666667,212.1,21.599999999999994,4.5789104925043205,76.0,94.9123216749952,85.4561608374976,0.0,0.0,29.43684825124928
368028770,AB 8,,90.0,2018-09-26 16:27:18+00:00,33.99195801570079,123.3,175.4,58.29999999999998,4.5789104925043205,35.22222222222224,94.9123216749952,65.06727194860872,0.0,31.500000000000007,29.15629269569373
367579840,FMS EAGLE,IMO8203074,90.0,2018-09-26 09:44:59+00:00,24.815924751092485,279.01666666666665,92.8,39.10000000000002,4.5789104925043205,56.555555555555536,94.9123216749952,75.73393861527536,0.736300995630057,0.0,25.842479760612413
367475170,FEDERAL PILOT 1,,90.0,2018-09-26 06:01:11+00:00,34.495421190866175,502.81666666666666,13.5,40.19999999999999,4.5789104925043205,55.33333333333334,94.9123216749952,75.12282750416426,0.0,0.0,25.303514917915948
538007911,CAPE TAURA,IMO9407251,89.0,2018-09-26 22:34:42+00:00,31.536574746994944,490.7,96.2,42.5,4.5789104925043205,52.77777777777778,94.9123216749952,73.84504972638649,0.0,0.0,24.792403806804835
366991260,CAPT JOHN E GRAHAM,IMO8988428,90.0,2018-09-26 04:11:31+00:00,35.44423871884496,612.4833333333333,171.4,62.29999999999998,4.5789104925043205,30.777777777777793,94.9123216749952,62.84504972638649,0.0,0.0,20.392403806804836
368042990,,,,2018-09-26 18:34:37+00:00,33.12792554676519,250.61666666666667,297.1,63.400000000000034,4.5789104925043205,29.555555555555515,94.9123216749952,62.233938615275356,0.0,0.0,20.147959362360382
366957490,WILLIAM H JOHNSON,,60.0,2018-09-26 05:50:45+00:00,37.30738948497945,513.25,117.7,64.00000000000001,4.5789104925043205,28.888888888888875,94.9123216749952,61.900605281942035,0.0,0.0,20.014626029027056
237928000,ERIKOUSSA,IMO9254850,80.0,2018-09-26 22:39:02+00:00,29.475606315070983,495.03333333333336,348.0,65.69999999999999,4.5789104925043205,27.000000000000014,94.9123216749952,60.956160837497606,0.0,0.0,19.636848251249283
367192710,BAR PILOT,,60.0,2018-09-26 19:20:57+00:00,33.26338472861617,296.95,302.5,68.80000000000001,4.5789104925043205,23.55555555555554,94.9123216749952,59.23393861527537,0.0,0.0,18.947959362360386
548953000,,,,2018-09-26 23:48:14+00:00,38.7729713641531,564.2333333333333,331.7,82.0,4.5789104925043205,8.888888888888891,94.9123216749952,51.90060528194204,0.0,0.0,16.014626029027056
229616000,POLA LADOGA,IMO9659799,70.0,2018-09-26 18:43:34+00:00,29.52375993695629,259.56666666666666,150.6,83.1,4.5789104925043205,7.666666666666677,94.9123216749952,51.289494170830935,0.0,0.0,15.770181584582614
538003693,AMANDA C,IMO9482782,70.0,2018-09-26 22:26:27+00:00,32.897416643697674,482.45,319.6,85.90000000000003,4.5789104925043205,4.555555555555513,94.9123216749952,49.733938615275356,0.0,0.0,15.147959362360382
367481310,OSG COURAGEOUS,IMO9395707,31.0,2018-09-26 23:10:01+00:00,32.34214877871588,526.0166666666667,144.7,89.0,4.5789104925043205,1.1111111111111072,94.9123216749952,48.01171639305315,0.0,0.0,14.4590704734715
256300000,CMA CGM TANCREDI,IMO9436355,70.0,2018-09-26 06:30:01+00:00,31.430005682158942,473.98333333333335,143.0,89.30000000000001,4.5789104925043205,0.7777777777777661,94.9123216749952,47.845049726386485,0.0,0.0,14.392403806804833
636014381,ANNA S,IMO9207778,70.0,2018-09-26 23:21:09+00:00,39.25603685140656,537.15,323.0,89.30000000000001,4.5789104925043205,0.7777777777777661,94.9123216749952,47.845049726386485,0.0,0.0,14.392403806804833
