mmsi,vessel_name,imo,vessel_type,best_time,distance_km,ais_course,wind_slick_difference_deg,ais_slick_difference_deg,wind_score,ais_score,directional_score,proximity_score,final_attribution_score
367109110,STONE EXPLORER,,31.0,2018-09-26 11:43:44+00:00,33.58969972279426,33.4,4.5789104925043205,20.299999999999983,94.9123216749952,77.44444444444446,86.17838305971983,0.0,51.7070298358319
367611820,GIS-SEA HORSE,IMO8964496,90.0,2018-09-26 14:45:59+00:00,33.77682174298454,213.4,4.5789104925043205,20.299999999999983,94.9123216749952,77.44444444444446,86.17838305971983,0.0,51.7070298358319
256317000,LIGARI,IMO9279513,70.0,2018-09-26 14:14:26+00:00,33.703244901841174,33.3,4.5789104925043205,20.399999999999977,94.9123216749952,77.33333333333337,86.12282750416429,0.0,51.67369650249857
538005074,INTREPID EAGLE,IMO9467615,70.0,2018-09-26 08:39:25+00:00,33.66293580660816,33.1,4.5789104925043205,20.599999999999994,94.9123216749952,77.11111111111111,86.01171639305315,0.0,51.60702983583189
311000137,CS JADEN,IMO9660061,70.0,2018-09-26 20:33:10+00:00,33.706334669881564,213.0,4.5789104925043205,20.69999999999999,94.9123216749952,77.00000000000001,85.9561608374976,0.0,51.573696502498564
218614000,MSC TORONTO,IMO9299525,70.0,2018-09-26 17:41:40+00:00,38.08694640508036,32.8,4.5789104925043205,20.899999999999977,94.9123216749952,76.7777777777778,85.84504972638649,0.0,51.507029835831894
367582010,MS NORMA LEE,IMO9089396,90.0,2018-09-26 15:43:16+00:00,33.916142676127514,212.5,4.5789104925043205,21.19999999999999,94.9123216749952,76.44444444444446,85.67838305971983,0.0,51.4070298358319
477985300,GENCO CHALLENGER,IMO9287429,70.0,2018-09-26 21:42:47+00:00,38.5422961301265,32.2,4.5789104925043205,21.5,94.9123216749952,76.11111111111111,85.51171639305315,0.0,51.30702983583189
311727000,HELGA SPIRIT,IMO9292503,80.0,2018-09-26 22:29:55+00:00,33.65044996576789,212.1,4.5789104925043205,21.599999999999994,94.9123216749952,76.0,85.4561608374976,0.0,51.27369650249856
538003254,STOLT MEGAMI,IMO9425980,80.0,2018-09-26 21:32:35+00:00,38.43145136333032,32.0,4.5789104925043205,21.69999999999999,94.9123216749952,75.8888888888889,85.40060528194205,0.0,51.24036316916523
271045704,,,,2018-09-26 14:24:58+00:00,37.29155975807386,30.6,4.5789104925043205,23.099999999999994,94.9123216749952,74.33333333333334,84.62282750416426,0.0,50.77369650249856
367594140,NGUYEN T J,IMO8958291,30.0,2018-09-26 18:25:52+00:00,38.662410012608454,77.7,4.5789104925043205,24.0,94.9123216749952,73.33333333333334,84.12282750416426,0.0,50.473696502498555
229616000,POLA LADOGA,IMO9659799,70.0,2018-09-26 14:25:30+00:00,29.643695492964056,78.6,4.5789104925043205,24.900000000000006,94.9123216749952,72.33333333333333,83.62282750416426,0.0,50.17369650249856
367330830,ODYSSEA DARWIN,IMO9343120,90.0,2018-09-26 14:23:17+00:00,13.787428385230616,153.7,4.5789104925043205,80.0,94.9123216749952,11.111111111111116,53.011716393053156,44.85028645907754,49.747144419462906
